Lado	Trat	Rep	SST	Peso	CE	CM	LE	LM	AE	PE	MaxR	MinR	MedR	MaxG	MinG	MedG	MaxB	MinB	MedB
a	1	1	3.20	9.32	37.22	39.00	22.63	24.02	755.49	115.36	63.00	255.00	159.00	49.00	240.00	144.50	56.00	247.00	151.50
a	1	2	4.30	15.02	NA	45.03	NA	29.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
a	1	3	4.80	13.32	39.63	43.61	25.09	26.99	860.32	124.37	71.00	243.00	157.00	53.00	228.00	140.50	68.00	236.00	152.00
a	1	4	4.10	16.23	40.00	44.08	29.06	30.38	1018.86	133.36	58.00	252.00	155.00	50.00	250.00	150.00	61.00	250.00	155.50
a	1	5	4.30	9.26	34.80	35.31	22.88	24.05	729.14	111.50	66.00	250.00	158.00	51.00	235.00	143.00	67.00	248.00	157.50
a	2	1	5.30	18.29	50.21	52.93	26.00	28.46	1165.12	148.35	52.00	253.00	152.50	48.00	247.00	147.50	51.00	254.00	152.50
a	2	2	5.50	15.17	43.11	44.55	27.83	28.59	1065.42	139.33	72.00	251.00	161.50	62.00	250.00	156.00	72.00	250.00	161.00
a	2	3	5.70	14.37	44.17	42.70	27.14	29.78	942.12	128.88	59.00	251.00	155.00	43.00	236.00	139.50	62.00	249.00	155.50
a	2	4	6.20	14.9	46.12	47.09	25.58	27.25	1059.92	139.43	64.00	255.00	159.50	60.00	255.00	157.50	70.00	255.00	162.50
a	2	5	5.80	17.98	NA	49.65	NA	29.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
a	3	1	5.50	31.47	55.78	57.68	34.40	35.85	1896.24	178.90	57.00	247.00	152.00	45.00	236.00	140.50	57.00	245.00	151.00
a	3	2	6.10	23.65	52.71	55.53	30.59	31.37	1237.89	157.39	66.00	250.00	158.00	57.00	234.00	145.50	68.00	246.00	157.00
a	3	3	6.90	25.28	59.77	55.75	30.87	34.38	1346.96	158.48	41.00	255.00	148.00	27.00	255.00	141.00	39.00	253.00	146.00
a	3	4	8.00	19.71	47.35	48.42	29.41	31.01	1262.03	151.23	63.00	255.00	159.00	47.00	255.00	151.00	59.00	255.00	157.00
a	3	5	8.50	31.54	56.00	59.05	33.21	35.78	1586.21	175.70	54.00	255.00	154.50	42.00	245.00	143.50	56.00	252.00	154.00
a	4	1	5.20	9.47	27.41	33.76	23.82	25.52	541.25	98.58	54.00	252.00	153.00	37.00	244.00	140.50	52.00	250.00	151.00
a	4	2	9.60	18.3	39.17	43.63	28.82	31.06	1019.77	131.67	66.00	250.00	158.00	57.00	234.00	145.50	70.00	244.00	157.00
a	4	3	9.00	23.36	NA	48.72	NA	35.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
a	4	4	5.70	16.88	36.40	40.08	29.81	32.65	1015.23	130.11	47.00	255.00	151.00	45.00	255.00	150.00	47.00	255.00	151.00
a	4	5	6.80	17.51	38.09	43.56	28.63	32.18	930.96	131.49	60.00	252.00	156.00	50.00	244.00	147.00	60.00	252.00	156.00
b	1	1	3.20	9.32	NA	39.00	NA	24.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
b	1	2	4.30	15.02	42.98	45.03	27.29	29.35	965.20	136.18	49.00	250.00	149.50	43.00	249.00	146.00	48.00	248.00	148.00
b	1	3	4.80	13.32	40.17	43.61	25.69	26.99	868.99	127.05	60.00	238.00	149.00	89.00	231.00	160.00	81.00	236.00	158.50
b	1	4	4.10	16.23	43.77	44.08	27.07	30.38	967.11	131.54	49.00	253.00	151.00	39.00	245.00	142.00	49.00	251.00	150.00
b	1	5	4.30	9.26	33.58	35.31	23.57	24.05	715.47	110.86	56.00	254.00	155.00	51.00	241.00	146.00	57.00	252.00	154.50
b	2	1	5.30	18.29	51.91	52.93	26.67	28.46	1168.38	150.66	53.00	255.00	154.00	58.00	255.00	156.50	56.00	255.00	155.50
